Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2023-07-09 12:16:54,false,"Rusko Pyöräily","10,00","267","01:09:58","87","144","1,9","--","--","8,6","29,5","42","214","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","21,0","0:00","No","08:11.30","2","27,0","00:40:49","01:09:58","-9","232"
Cycling,2023-06-12 16:17:26,false,"Turku Pyöräily","23,73","507","01:04:33","121","145","3,0","--","--","22,1","40,0","115","89","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","24,0","0:00","No","19:12.62","3","28,0","01:01:50","01:04:33","227","276"
Cycling,2023-06-12 07:09:49,false,"Rusko Pyöräily","23,72","462","01:06:39","117","146","2,6","--","--","21,4","31,7","85","114","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","19,0","0:00","No","21:26.93","3","27,0","01:05:26","01:06:39","19","69"
Cycling,2023-06-11 18:31:23,false,"Rusko Pyöräily","15,22","217","00:46:51","96","112","1,3","--","--","19,5","33,2","82","86","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","19,0","0:00","No","19:12.69","2","25,0","00:46:51","00:46:51","196","239"
Cycling,2023-05-31 16:13:41,false,"Turku Pyöräily","23,73","520","01:07:01","120","145","2,6","--","--","21,2","40,4","154","130","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","17,0","0:00","No","19:48.48","3","26,0","01:04:53","01:07:01","24","73"
Cycling,2023-05-31 07:03:18,false,"Rusko Pyöräily","23,66","455","01:02:42","120","166","3,1","--","--","22,6","32,5","83","115","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","18,0","0:00","No","19:49.44","3","26,0","01:00:43","01:02:42","18","73"
Cycling,2023-05-24 16:36:41,false,"Turku Pyöräily","23,75","501","01:03:09","119","155","3,1","--","--","22,6","39,9","116","93","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","24,0","0:00","No","17:33.32","3","28,0","01:00:11","01:03:09","67","114"
Cycling,2023-05-24 06:27:23,false,"Rusko Pyöräily","23,50","501","01:02:37","120","152","2,8","--","--","22,5","33,3","63","90","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","15,0","0:00","No","19:02.82","3","28,0","00:49:13","01:02:37","105","157"
Cycling,2023-05-21 14:20:35,false,"Rusko Pyöräily","12,89","267","01:09:42","89","127","1,3","--","--","11,1","31,5","62","80","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","26,0","0:00","No","17:25.75","2","31,0","00:50:54","01:09:42","131","175"
Cycling,2023-05-19 15:34:44,false,"Turku Pyöräily","23,74","551","01:02:34","129","151","3,1","--","--","22,8","43,0","122","99","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","21,0","0:00","No","19:14.63","3","25,0","01:02:10","01:02:34","68","114"
